GLOSS_ID,VALIDATED_ROOT,AIRCRAFT_NAME,WEBSITE_LINK,AIRCRAFT_TYPE,AIRCRAFT_SHORTNAME,AIRCRAFT_APPLICATION,AC_MISSION_COUNT
1,A-1,Douglas A-1 Skyraider,http://www.navalaviationmuseum.org/attractions/aircraft-exhibits/item/?item=a-1h_skyraider,Fighter Jet,Skyraider,FIGHTER,373265
2,A-26,Douglas A-26 Invader,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=91,Light Bomber,Invader,BOMBER,36672
4,A-37,Cessna A-37 Dragonfly,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=148,Light ground-attack aircraft,Dragonfly,ATTACK,282699
5,A-4,McDonnell Douglas A-4 Skyhawk,http://www.fighter-planes.com/info/a4-skyhawk.htm,Fighter Jet,Skyhawk,FIGHTER,390290
6,A-5,North American A-5 Vigilante,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=268,Bomber Jet,Vigilante,BOMBER,10
7,A-6,Grumman A-6 Intruder,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=166,Attack Aircraft,Intruder,ATTACK,148372
8,A-7,LTV A-7 Corsair II,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=116,Attack Aircraft,Corsair II,ATTACK,171983
9,AC-119,Fairchild AC-119 Shadow or Stinger,https://en.wikipedia.org/wiki/Fairchild_AC-119,Military Transport aircraft,Shadow or Stinger,TRANSPORT,81757
10,AC-123,Fairchild C-123 Provider ,http://www.warbirdalley.com/c123.htm,Military Transport aircraft,Provider,TRANSPORT,3435
11,AC-130,Lockheed AC-130 Spectre,http://fas.org/man/dod-101/sys/ac/ac-130.htm,Fixed wing ground attack gunship,Spectre,ATTACK,76620
12,AC-47,Douglas AC-47 Spooky,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=1225,Ground attack aircraft,Spooky,ATTACK,75174
13,AH-1,Bell AH-1 HueyCobra,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=13,Helicopter,HueyCobra,HELICOPTER,1355
14,B-1,Rockwell B-1 Lancer,https://en.wikipedia.org/wiki/Rockwell_B-1_Lancer,Heavy strategic bomber,Lancer,"STRATEGIC, BOMBER",2
15,B-52,B-52 Stratofortress,http://www.af.mil/AboutUs/FactSheets/Display/tabid/224/Article/104465/b-52-stratofortress.aspx,Strategic bomber,Stratofortress,"STRATEGIC, BOMBER",99236
16,B-57,Martin B-57 Canberra,https://en.wikipedia.org/wiki/Martin_B-57_Canberra,Tactical Bomber,Canberra,"TACTICAL, BOMBER",83097
17,B-66,Douglas B-66 Destroyer,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=278,Light Bomber,Destroyer,BOMBER,1052
18,C-1,Grumman C-1A Trader,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=707,Transport,Trader,TRANSPORT,110
19,C-117,C-117D Skytrain,http://www.navalaviationmuseum.org/attractions/aircraft-exhibits/item/?item=c-117d_skytrain,Transport,Skytrain,TRANSPORT,983
20,C-119,Fairchild C-119 Flying Boxcar,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=379,Military Transport aircraft,Flying Boxcar,TRANSPORT,5094
21,C-123,Fairchild C-123 Provider ,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=657,Military Transport aircraft,Provider,TRANSPORT,21841
22,C-130,Lockheed C-130 Hercules,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=28,Military Transport aircraft,Hercules,TRANSPORT,37038
23,C-47,Douglas C-47 Skytrain,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=111,Military Transport aircraft,Skytrain,TRANSPORT,19948
24,C-54,Douglas C-54 Skymaster,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=110,Military Transport aircraft,Skymaster,TRANSPORT,13
25,C-7,C-7A Caribou ,http://amcmuseum.org/at-the-museum/aircraft/c-7a-caribou/,Military Transport aircraft,Caribou,TRANSPORT,13847
27,C-76,Curtiss-Wright C-76 Caravan,https://en.wikipedia.org/wiki/Curtiss-Wright_C-76_Caravan,Medium Transport,Caravan,TRANSPORT,1
