WEAPON_ID,WEAPONTYPE,WEAPONTYPE_COMMON_NAME,WEAPON_CLASS,WEAPONTYPE_DESC,WEAPON_COUNT
1,100 GP,General Purpose Bomb,BOMB,100 lb general purpose,1
2,1000 G,Megaboller flash powder bomb,BOMB,1000 g BKS,2
3,1000LB GP M-65,An-M65,BOMB,1000 lb general purpose ,12776
4,1000LB MK-83,Mark 83 bomb,BOMB,1000 lb none guidence general purpose bomb,15522
5,1000LB SAP M59,AN-M59,BOMB,1000 lb semi-armor piercing bomb,454
6,100LB FR M-IA2,,BOMB,,11858
7,100LB GP M-30,AN-M30,BOMB,100 lb general purpose,4610
8,100LB M-28,,BOMB,,1639
9,100LB PWP M-47,M47,BOMB,100 lb chemical bomb,9970
10,105 HOWITZER AMMO,Howitzer ammo,GUN,105mm Howitzer ammo,51
11,105HE HOWITZER AMMO,Howitzer ammo,GUN,105mm high explosive Howitzer ammo,103
12,12.7 MM AMMO,,GUN,heavy machine gun ammo,19
13,2.75 IN ANTI-TANK RKT,Hydra 70,ROCKET,Hydra 70 Rocket (Anti tank),5
14,2.75 IN. ROCKET,Hydra 70,ROCKET,Hydra 70 Rocket ,19
15,2.75IN FLECHET,,ROCKET,M255E1/A1   Flechette warhead ,5815
16,2.75IN HE RKT,,ROCKET,High explosive rocket,45021
17,2.75IN HEAT RK,,ROCKET,Heat Seeking rocket,9403
18,2.75IN PWP RKT,,ROCKET,,11086
19,20 MM AMMO (HNDRDS),,GUN,,15002
20,200/260 M81/88,,BOMB,,12147
21,2000LB M-66,AN-M66,BOMB,70Êmm (2.75Êin) WAFAR universal motor; common motor for the GD Hydra 70 series of rockets,5949
22,2000LB MK-84,Mk-84,BOMB,"""free-fall, nonguided general purpose bomb 2,000-pound bomb""",8403
23,250LB BLU-10,BLU-10/B,BOMB,250 lb Napalm Bomb,5326
24,250LB M-57,AN-M57,BOMB,250 Lb General Purpose bomb,15757
25,250LB MK-81,Mk 81,BOMB,"""250Êlb general purpose bomb (nicknamed """"Firecracker"""")""",82691
26,30 CAL,,GUN,,394
27,30 DAY CAN,,SUPPORT,,584
28,3000 LB BLU-34,BLU-34/B,BOMB,3000 lb class demolition bomb against hard surface structures,13
29,3000LB M-118,M-118,BOMB,air-dropped general-purpose or demolition bomb,2675
30,40MM HE XM384,,GUN,,1034
31,40MM MISC METAL,,GUN,,124
32,5.0IN HE RKT,,ROCKET,,23509
33,5.0IN HEAT RKT,,ROCKET,,524
34,5.0IN HVAR RKT,,ROCKET,,1124
35,5.56MM,,GUN,,168
36,5.59 MM AMMO (HNDRDS),,GUN,,1
37,50 CAL,,GUN,,16457
38,50 CALIBAR AMMO,,GUN,,19
39,500BLU11/23/32,BLU-11/B,BOMB,500 lb class fire bomb filled with 245 liters (65 US gal) of napalm,58336
40,500LB GP M-64,AN-M64,BOMB,500 lb general purpose bomb filled with TNT or Amatol ,41281
41,500LB GP MK-82,Mk 82,BOMB,500 lb general purpose bomb containing 192 lb of Tritonal high explosive,408323
42,500LB IND M-31,,BOMB,,1709
43,500LBINCNDM32,,BOMB,,2379
44,7.62 AMMO,,GUN,,11903
45,7.62MM,,GUN,,55385
46,750 GP,M-117,BOMB,750 lb general purpose bomb ,29653
47,750LB BLU-1/27,BLU-1/B,BOMB,"""750 lb class fire bomb, filled with about 340-380 liters (90-100 US gal) of napalm""",101327
48,750LB GP M-117,M-117,BOMB,750 lb general purpose bomb ,150430
49,750LB M-35 PHS,,BOMB,,3016
50,900LB M-36 THR,,BOMB,,4523
51,ADU-253,ADU-253/B,BOMB,Cluster Bomb Bomblet Canister for BLU-3/B,573
52,ADU-253 DISPENSER,ADU-253/B,SUPPORT,Cluster Bomb Bomblet Canister for BLU-3/B,17
53,ADU-272,ADU-272/B,SUPPORT,Cluster Bomb Bomblet Canister for BLU-26/B,1126
54,ADU-273 DISPENSER,,SUPPORT,,99
55,ADU-285,ADU-285/B,SUPPORT,Cluster Bomb Adapter,12
56,AERO-70 RKT LAUNCHER,,SUPPORT,,1
57,AGM-12C BULLPUP-B,AGM-12 Bullpup,MISSILE,Air-to-ground command guided missile,114
58,AGM-45A SHRIKE-3,AGM-45 Shrike,MISSILE,Air-to-surface anti-radiation missile,8437
59,AGM-62A WALLEYE,AGM-62ÊWalleye,MISSILE,unpowered TV-guided glide bomb,35
60,AGM-62A WALLEYE 1,AGM-62ÊWalleye I,MISSILE,unpowered TV-guided glide bomb,10
61,AGM-62A WALLEYE 2,AGM-62A WALLEYE II,MISSILE,larger extended glide range Walleye I,2
